Year,SiteName,TripNo,MonthYear,SiteGrid,Species,AvgOfCover,AvgOfFL,AvgOfSeed,dead/alive
1993,Main Camp,18,Oct.93,MC0,Aristida contorta,2.333333333,0,0.333333333,Alive
1993,Main Camp,18,Oct.93,MC0,Calandrinia balonensis,1,0,0,Alive
1993,Main Camp,18,Oct.93,MC0,Crotalaria eremaea,1,0,0,Alive
1993,Main Camp,18,Oct.93,MC0,Eremophila longifolia,2.666666667,0,0,Alive
1993,Main Camp,18,Oct.93,MC0,Eriachne aristidea,1,0,0,Alive
1993,Main Camp,18,Oct.93,MC0,Euphorbia drummondii,1,0,0,Alive
1993,Main Camp,18,Oct.93,MC0,Frankenia gracilis,8,0,0,Alive
1993,Main Camp,18,Oct.93,MC0,Goodenia cycloptera,1,0,0,Alive
1993,Main Camp,18,Oct.93,MC0,Grevillea stenobotrya,1.5,0,0.5,Alive
1993,Main Camp,18,Oct.93,MC0,Portulaca spp,1,0,0,Alive
1993,Main Camp,18,Oct.93,MC0,Scaveola parviflora,13.66666667,0,0.666666667,Alive
1993,Main Camp,18,Oct.93,MC0,Sclerolaena bicornis,1,0,0,Alive
1993,Main Camp,18,Oct.93,MC0,Triodia basedowii,25,0,0.5,Alive
1993,Main Camp,18,Oct.93,MC0,Triumfetta winneckeana,2,0,0,Alive
1993,Main Camp,18,Oct.93,MC1,Calandrinia balonensis,1,0.5,0,Alive
1993,Main Camp,18,Oct.93,MC1,Eremophila longifolia,10,0,1,Alive
1993,Main Camp,18,Oct.93,MC1,Euphorbia drummondii,1,1,0,Alive
1993,Main Camp,18,Oct.93,MC1,Grevillea stenobotrya,15,0,1,Alive
1993,Main Camp,18,Oct.93,MC1,Ptilotus polystachyus,1,1,0,Alive
1993,Main Camp,18,Oct.93,MC1,Ptilotus sessilifolius,10,4,1,Alive
1993,Main Camp,18,Oct.93,MC1,Scaveola parviflora,10,0,0,Alive
1993,Main Camp,18,Oct.93,MC1,Sida fibulifera,6,0,0,Alive
1993,Main Camp,18,Oct.93,MC1,Trachymene glaucifolia,1,1,0,Alive
1993,Main Camp,18,Oct.93,MC1,Trianthema pilosa,1.25,0,0,Alive
1993,Main Camp,18,Oct.93,MC1,Triodia basedowii,25,0,0,Alive
1993,Main Camp,18,Oct.93,MC1,Triumfetta winneckeana,1,0,0,Alive
1993,Main Camp,18,Oct.93,MC10,Aristida contorta,3.5,0,1.5,Alive
1993,Main Camp,18,Oct.93,MC10,Calandrinia balonensis,1.2,0.4,0.2,Alive
1993,Main Camp,18,Oct.93,MC10,Dicrastylis costelloi,10,5,1,Alive
1993,Main Camp,18,Oct.93,MC10,Grevillea stenobotrya,10.5,0,1.75,Alive
1993,Main Camp,18,Oct.93,MC10,Helipterum floribundum,1,1,0,Alive
1993,Main Camp,18,Oct.93,MC10,Scaveola parviflora,2,0,0,Alive
1993,Main Camp,18,Oct.93,MC10,Sida fibulifera,7.5,0,0,Alive
1993,Main Camp,18,Oct.93,MC10,Tephrosea rosea,3,0,0,Alive
1993,Main Camp,18,Oct.93,MC10,Trachymene glaucifolia,1,0,3,Alive
1993,Main Camp,18,Oct.93,MC10,Trianthema pilosa,1,0,0,Alive
1993,Main Camp,18,Oct.93,MC10,Triodia basedowii,22.5,0,0,Alive
1993,Main Camp,18,Oct.93,MC11,Aristida contorta,7.5,0,0.5,Alive
1993,Main Camp,18,Oct.93,MC11,Calandrinia balonensis,1.6,1.2,1,Alive
1993,Main Camp,18,Oct.93,MC11,Grevillea stenobotrya,3.5,0,0,Alive
1993,Main Camp,18,Oct.93,MC11,Helipterum floribundum,1,1,0,Alive
1993,Main Camp,18,Oct.93,MC11,Paractaenum refractum,2,0,0,Alive
1993,Main Camp,18,Oct.93,MC11,Portulaca spp,1,0,0,Alive
1993,Main Camp,18,Oct.93,MC11,Ptilotus polystachyus,1,0,0,Alive
1993,Main Camp,18,Oct.93,MC11,Sida fibulifera,10,0.333333333,0,Alive
1993,Main Camp,18,Oct.93,MC11,Tephrosea rosea,6.5,0,0,Alive
1993,Main Camp,18,Oct.93,MC11,Trachymene glaucifolia,1,0,2.2,Alive
1993,Main Camp,18,Oct.93,MC11,Trianthema pilosa,1,0,0,Alive
1993,Main Camp,18,Oct.93,MC11,Triodia basedowii,34,0,0,Alive
1993,Main Camp,18,Oct.93,MC11,Triumfetta winneckeana,8,0,0,Alive
1993,Main Camp,18,Oct.93,MC2,Calandrinia balonensis,1,3.5,1.5,Alive
1993,Main Camp,18,Oct.93,MC2,Dicrastylis costelloi,3,0,1,Alive
1993,Main Camp,18,Oct.93,MC2,Euphorbia drummondii,2,0,0,Alive
1993,Main Camp,18,Oct.93,MC2,Goodenia cycloptera,1,0,0,Alive
1993,Main Camp,18,Oct.93,MC2,Grevillea stenobotrya,7.5,0,0.5,Alive
1993,Main Camp,18,Oct.93,MC2,Paractaenum refractum,3.666666667,0,0,Alive
1993,Main Camp,18,Oct.93,MC2,Ptilotus sessilifolius,2,0,2,Alive
1993,Main Camp,18,Oct.93,MC2,Salsola kali,1,0,0,Alive
1993,Main Camp,18,Oct.93,MC2,Scaveola parviflora,8,0,0.666666667,Alive
1993,Main Camp,18,Oct.93,MC2,Sida fibulifera,3.333333333,0.666666667,0,Alive
