Year,SiteName,TripNo,MonthYear,Date,SiteGrid,FID,Species,Family,AvgOfCover,AvgOfFL,AvgOfSeed,deadOrAlive
1993,Main Camp,18,Oct.93,1993-10-01,MC1,9,Calandrinia balonensis,Calandrinia,1,0.5,0,Alive
1993,Main Camp,18,Oct.93,1993-10-01,MC1,9,Eremophila longifolia,Eremophila,10,0,1,Alive
1993,Main Camp,18,Oct.93,1993-10-01,MC1,9,Euphorbia drummondii,Euphorbia,1,1,0,Alive
1993,Main Camp,18,Oct.93,1993-10-01,MC1,9,Grevillea stenobotrya,Grevillea,15,0,1,Alive
1993,Main Camp,18,Oct.93,1993-10-01,MC1,9,Ptilotus polystachyus,Ptilotus,1,1,0,Alive
1993,Main Camp,18,Oct.93,1993-10-01,MC1,9,Ptilotus sessilifolius,Ptilotus,10,4,1,Alive
1993,Main Camp,18,Oct.93,1993-10-01,MC1,9,Scaveola parviflora,Scaveola,10,0,0,Alive
1993,Main Camp,18,Oct.93,1993-10-01,MC1,9,Sida fibulifera,Sida,6,0,0,Alive
1993,Main Camp,18,Oct.93,1993-10-01,MC1,9,Trachymene glaucifolia,Trachymene,1,1,0,Alive
1993,Main Camp,18,Oct.93,1993-10-01,MC1,9,Trianthema pilosa,Trianthema,1.25,0,0,Alive
1993,Main Camp,18,Oct.93,1993-10-01,MC1,9,Triodia basedowii,Triodia,25,0,0,Alive
1993,Main Camp,18,Oct.93,1993-10-01,MC1,9,Triumfetta winneckeana,Triumfetta,1,0,0,Alive
1993,Main Camp,19,Nov.93,1993-11-01,MC1,9,Aristida contorta,Aristida,1,1,1,Alive
1993,Main Camp,19,Nov.93,1993-11-01,MC1,9,Calandrinia balonensis,Calandrinia,1,0,0,Alive
1993,Main Camp,19,Nov.93,1993-11-01,MC1,9,Eremophila longifolia,Eremophila,10,0,1,Alive
1993,Main Camp,19,Nov.93,1993-11-01,MC1,9,Grevillea stenobotrya,Grevillea,15,0,0,Alive
1993,Main Camp,19,Nov.93,1993-11-01,MC1,9,Ptilotus polystachyus,Ptilotus,1,0,0,Alive
1993,Main Camp,19,Nov.93,1993-11-01,MC1,9,Ptilotus sessilifolius,Ptilotus,10,2,1,Alive
1993,Main Camp,19,Nov.93,1993-11-01,MC1,9,Scaveola parviflora,Scaveola,10,0,0,Alive
1993,Main Camp,19,Nov.93,1993-11-01,MC1,9,Sida fibulifera,Sida,4.333333333,0.333333333,0,Alive
1993,Main Camp,19,Nov.93,1993-11-01,MC1,9,Trianthema pilosa,Trianthema,1.333333333,0,0,Alive
1993,Main Camp,19,Nov.93,1993-11-01,MC1,9,Triodia basedowii,Triodia,25,0,0,Alive
1993,Main Camp,19,Nov.93,1993-11-01,MC1,9,Triumfetta winneckeana,Triumfetta,1,0,0,Alive
1994,Main Camp,21,Mar.94,1994-03-01,MC1,9,Abutilon otocarpum,Abutilon,1,0,0,Alive
1994,Main Camp,21,Mar.94,1994-03-01,MC1,9,Calandrinia balonensis,Calandrinia,1,0,0,Alive
1994,Main Camp,21,Mar.94,1994-03-01,MC1,9,Crotalaria eremaea,Crotalaria,1,0,1,Alive
1994,Main Camp,21,Mar.94,1994-03-01,MC1,9,Eremophila longifolia,Eremophila,7,0,0,Alive
1994,Main Camp,21,Mar.94,1994-03-01,MC1,9,Eriachne aristidea,Eriachne,1,0,0,Alive
1994,Main Camp,21,Mar.94,1994-03-01,MC1,9,Euphorbia drummondii,Euphorbia,8,0,0,Alive
1994,Main Camp,21,Mar.94,1994-03-01,MC1,9,Scaveola parviflora,Scaveola,20,0,0,Alive
1994,Main Camp,21,Mar.94,1994-03-01,MC1,9,Sida fibulifera,Sida,3.666666667,0,0,Alive
1994,Main Camp,21,Mar.94,1994-03-01,MC1,9,Tephrosea rosea,Tephrosea,1.5,0,0,Alive
1994,Main Camp,21,Mar.94,1994-03-01,MC1,9,Trianthema pilosa,Trianthema,1,0,0,Alive
1994,Main Camp,21,Mar.94,1994-03-01,MC1,9,Triodia basedowii,Triodia,23.33333333,0,0,Alive
1994,Main Camp,24,Jul.94,1994-07-01,MC1,9,Acacia 1,Acacia,1,0,0,Alive
1994,Main Camp,24,Jul.94,1994-07-01,MC1,9,Crotalaria eremaea,Crotalaria,1,0,0,Alive
1994,Main Camp,24,Jul.94,1994-07-01,MC1,9,Grevillea stenobotrya,Grevillea,5,0,0,Alive
1994,Main Camp,24,Jul.94,1994-07-01,MC1,9,Scaveola parviflora,Scaveola,6.5,0,0,Alive
1994,Main Camp,24,Jul.94,1994-07-01,MC1,9,Sida fibulifera,Sida,1,0,0,Alive
1994,Main Camp,24,Jul.94,1994-07-01,MC1,9,Triodia basedowii,Triodia,18.33333333,0,0,Alive
1994,Main Camp,25,Sep.94,1994-09-01,MC1,9,Eremophila longifolia,Eremophila,10,0,0,Alive
1994,Main Camp,25,Sep.94,1994-09-01,MC1,9,Grevillea stenobotrya,Grevillea,10,0,0,Alive
1994,Main Camp,25,Sep.94,1994-09-01,MC1,9,Sida fibulifera,Sida,2.333333333,0,0,Alive
1994,Main Camp,25,Sep.94,1994-09-01,MC1,9,Tephrosea rosea,Tephrosea,1,0,0,Alive
1994,Main Camp,25,Sep.94,1994-09-01,MC1,9,Triodia basedowii,Triodia,26.66666667,0,0,Alive
1995,Main Camp,28,May.95,1995-05-01,MC1,9,Acacia 1,Acacia,8,0,0,Alive
1995,Main Camp,28,May.95,1995-05-01,MC1,9,Aristida contorta,Aristida,2.25,0.5,1.25,Alive
1995,Main Camp,28,May.95,1995-05-01,MC1,9,Crotalaria eremaea,Crotalaria,1,0,0,Alive
1995,Main Camp,28,May.95,1995-05-01,MC1,9,Eriachne aristidea,Eriachne,1,1,1.5,Alive
1995,Main Camp,28,May.95,1995-05-01,MC1,9,Grevillea stenobotrya,Grevillea,7,0,0,Alive
1995,Main Camp,28,May.95,1995-05-01,MC1,9,Scaveola parvibarbata,Scaveola,1,0,0,Alive
